Date,China,India,US,EU,Russia,Japan,Brazil,ROW,World
15/03/2019,2.56,0.82,5.32,2.67,0.70,0.54,0.58,6.29,19.49
16/03/2019,2.49,0.82,4.37,2.20,0.62,0.52,0.55,5.64,17.22
17/03/2019,2.44,0.77,3.68,1.79,0.52,0.48,0.46,5.31,15.45
18/03/2019,2.52,0.82,4.73,2.63,0.69,0.53,0.57,6.45,18.92
19/03/2019,2.52,0.82,5.12,2.65,0.69,0.53,0.58,6.62,19.53
20/03/2019,2.51,0.80,4.99,2.60,0.68,0.53,0.58,6.53,19.22
21/03/2019,2.52,0.23,5.30,2.67,0.69,0.53,0.58,6.58,19.11
22/03/2019,2.52,0.77,5.29,2.66,0.69,0.53,0.58,6.31,19.36
23/03/2019,2.49,0.79,4.38,2.21,0.62,0.52,0.54,5.63,17.18
24/03/2019,2.44,0.74,3.29,1.79,0.53,0.49,0.43,5.17,14.88
25/03/2019,2.51,0.82,4.75,2.62,0.69,0.53,0.57,6.48,18.97
26/03/2019,2.52,0.82,5.19,2.66,0.69,0.53,0.58,6.64,19.64
27/03/2019,2.52,0.82,5.25,2.66,0.69,0.53,0.58,6.74,19.79
28/03/2019,2.52,0.82,5.26,2.68,0.69,0.53,0.58,6.79,19.87
29/03/2019,2.55,0.82,5.27,2.69,0.70,0.54,0.58,6.39,19.53
30/03/2019,2.49,0.81,4.49,2.27,0.62,0.52,0.54,5.90,17.64
31/03/2019,2.44,0.78,3.36,1.87,0.54,0.49,0.42,5.41,15.30
01/04/2019,2.51,0.82,4.62,2.64,0.69,0.53,0.57,6.45,18.82
02/04/2019,2.51,0.81,5.12,2.68,0.69,0.53,0.58,6.67,19.60
03/04/2019,2.51,0.81,5.26,2.68,0.69,0.53,0.58,6.67,19.73
04/04/2019,2.51,0.81,5.31,2.69,0.69,0.53,0.58,6.74,19.88
05/04/2019,2.54,0.81,5.36,2.69,0.70,0.54,0.58,6.35,19.58
06/04/2019,2.49,0.79,4.63,2.25,0.62,0.52,0.56,5.85,17.69
07/04/2019,2.42,0.74,3.46,1.83,0.52,0.49,0.46,5.26,15.17
08/04/2019,2.51,0.81,4.65,2.65,0.69,0.53,0.57,6.41,18.81
09/04/2019,2.51,0.81,5.24,2.68,0.69,0.53,0.58,6.73,19.79
10/04/2019,2.51,0.81,5.31,2.68,0.69,0.53,0.58,6.72,19.84
11/04/2019,2.51,0.81,5.34,2.65,0.69,0.53,0.58,6.75,19.87
12/04/2019,2.55,0.81,5.20,2.44,0.70,0.54,0.56,6.08,18.87
